StudentID,AttendanceDaysPossible,AbsentDays,UnexcusedAbsentDays,ExcusedAbsentDays,SegmentAttendanceRate
7465924,180,12,10,2,0.933
7935696,180,29.5,15.67,13.83,0.836
6598776,177,0,0,0,1
3449796,164,2,0,2,0.988
3449796,13,0,0,0,1
3361418,174,2,0,2,0.989
3361418,3,0,0,0,1
3692713,177,0,0,0,1
7969492,,,,,
7969492,176,150,147,3,0.148
7969492,4,4,4,0,0
6881423,177,10,3,7,0.944
7206969,180,3,0.83,2.17,0.983
3658447,174,6,3,3,0.966
3658447,3,0,0,0,1
7391884,180,1.83,1.83,0,0.99
7776899,180,30.83,30.83,0,0.829
7800624,180,1.67,1.67,0,0.991
6868424,180,14.67,7.67,7,0.919
3930710,,,,,
3930710,180,1,1,0,0.994
6185517,175,5,4,1,0.971
6865785,177,6,5,1,0.966
6016486,177,5,1,4,0.972
3331735,177,5,0,5,0.972
7321854,180,8,8,0,0.956
7857174,180,16,3.83,12.17,0.911
7783245,,,,,
7783245,180,10.5,3.5,7,0.942
3384752,177,20,0,20,0.887
7980803,177,3,0,3,0.983
7506127,180,3.67,1,2.67,0.98
3927418,180,5.17,2.17,3,0.971
6932481,177,2,0,2,0.989
6882724,177,12,0,12,0.932
3838411,174,0,0,0,1
3838411,3,0,0,0,1
3057755,177,16,1,15,0.91
6535519,180,17.5,0.83,16.67,0.903
7686938,52,46,33,13,0.115
7686938,5,0,0,0,1
7686938,123,21.67,7.67,14,0.824
7415348,180,4,3,1,0.978
6499487,177,4,0,4,0.977
7389884,180,2.17,0.17,2,0.988
7641909,180,6.5,4.83,1.67,0.964
3168417,177,15,7,8,0.915
7540244,,,,,
7540244,180,3.17,2.33,0.83,0.982
7443864,180,4.33,0,4.33,0.976
6557435,177,14,7,7,0.921
3522790,177,3,0,3,0.983
3574416,177,12,4,8,0.932
7687261,,,,,
7687261,79,50.34,27.29,23.05,0.363
7806812,180,38.17,28.83,9.33,0.788
7122261,180,60.67,41.76,18.9,0.663
3005751,180,7,1,6,0.961
7078280,,,,,
7078280,180,11.5,5.5,6,0.936
6665789,180,55.67,31.67,24,0.691
7880949,180,21.5,3.5,18,0.881
7497157,180,27.83,0.5,27.33,0.845
7832164,180,0,0,0,1
3344442,180,5.83,0.17,5.67,0.968
3344442,,,,,
6079486,177,3,1,2,0.983
7581993,180,8.83,7.83,1,0.951
6046731,,,,,
6046731,34,16.33,15.33,1,0.52
7362183,180,14.17,1,13.17,0.921
3483442,174,10,0,10,0.943
3483442,3,0,0,0,1
